date,sessions,totalUsers,screenPageViews,averageSessionDuration,engagementRate
20260721,9.0,6.0,15.0,44.897748444444446,44.44444444444444
20260718,7.0,4.0,10.0,68.2256272857143,42.857142857142854
20260708,6.0,5.0,7.0,28.092826666666667,33.33333333333333
20260715,6.0,6.0,7.0,101.0530705,16.666666666666664
20260719,6.0,5.0,10.0,36.220246499999995,16.666666666666664
20260720,6.0,4.0,6.0,18.370164166666665,33.33333333333333
20260626,5.0,5.0,6.0,8.7712564,20.0
20260722,5.0,4.0,4.0,89.04217279999999,40.0
20260627,4.0,3.0,3.0,6.76206325,25.0
20260701,4.0,1.0,4.0,8.83814825,50.0
20260628,3.0,2.0,4.0,40.986337666666664,33.33333333333333
20260629,3.0,2.0,4.0,19.54461566666667,66.66666666666666
20260706,3.0,3.0,3.0,7.198209666666667,33.33333333333333
20260710,3.0,3.0,4.0,40.693230666666665,33.33333333333333
20260717,3.0,3.0,4.0,7.215604333333334,66.66666666666666
20260709,2.0,2.0,3.0,32.950335,50.0
20260714,2.0,2.0,2.0,6.320946,0.0
20260723,2.0,1.0,3.0,26.527586,50.0
20260630,1.0,1.0,4.0,88.485587,100.0
20260702,1.0,1.0,2.0,38.272098,100.0
20260704,1.0,1.0,2.0,151.144148,100.0
20260711,1.0,1.0,1.0,58.426397,100.0
20260712,1.0,1.0,1.0,37.356072,100.0
20260713,1.0,1.0,1.0,44.306718,100.0
20260716,1.0,1.0,1.0,17.331881,100.0
