page,site,impressions,clicks,ctr,position,sessions,totalUsers,screenPageViews,averageSessionDuration,engagementRate
/blog/107/,blog,1150.0,28.0,2.4347826086956523,11.68695652173913,0.0,0.0,0.0,0.0,0.0
/,lp,78.0,15.0,19.230769230769234,7.089743589743589,52.0,43.0,148.0,164.96146501923073,36.53846153846153
/blog/ollamallm/,blog,215.0,12.0,5.5813953488372094,11.04186046511628,0.0,0.0,0.0,0.0,0.0
/blog/94/,blog,374.0,7.0,1.8716577540106951,8.227272727272727,0.0,0.0,0.0,0.0,0.0
/blog/gpt-oss-vs-gemma3/,blog,348.0,4.0,1.1494252873563218,7.35632183908046,0.0,0.0,0.0,0.0,0.0
/blog/chrome_extension_homebutton/,blog,13.0,3.0,23.076923076923077,9.153846153846153,0.0,0.0,0.0,0.0,0.0
/blog/82/,blog,64.0,2.0,3.125,8.421875,0.0,0.0,0.0,0.0,0.0
/blog/108/,blog,43.0,2.0,4.651162790697675,7.255813953488372,0.0,0.0,0.0,0.0,0.0
/blog/97/,blog,24.0,1.0,4.166666666666666,7.25,0.0,0.0,0.0,0.0,0.0
/blog/,blog,1.0,0.0,0.0,6.0,3.0,3.0,6.0,3.2864326666666663,66.66666666666666
/blog/105/,blog,18.0,0.0,0.0,8.61111111111111,0.0,0.0,0.0,0.0,0.0
/blog/115/,blog,7.0,0.0,0.0,3.142857142857143,0.0,0.0,0.0,0.0,0.0
/blog/116/,blog,4.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0
/blog/67/,blog,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
/blog/87/,blog,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
/blog/88/,blog,3.0,0.0,0.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0
/blog/91/,blog,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
/blog/95/,blog,4.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
/blog/96/,blog,55.0,0.0,0.0,9.927272727272728,0.0,0.0,0.0,0.0,0.0
/blog/98/,blog,9.0,0.0,0.0,9.333333333333334,0.0,0.0,0.0,0.0,0.0
/tags/,lp,3.0,0.0,0.0,4.333333333333334,0.0,0.0,0.0,0.0,0.0
/blog/100/,blog,7.0,0.0,0.0,6.714285714285714,0.0,0.0,0.0,0.0,0.0
/blog/101/,blog,3.0,0.0,0.0,8.666666666666668,0.0,0.0,0.0,0.0,0.0
/blog/106/,blog,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
/blog/69/,blog,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
/blog/71/,blog,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
/blog/76/,blog,2.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0
/blog/81/,blog,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
/blog/89/,blog,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
/blog/amazon-q-cli-tshirt/,blog,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
/blog/check_sources_first/,blog,2.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0
/blog/cloudflare-pages-happy/,blog,5.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0
/blog/enjoy-atcoder/,blog,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
/blog/make_techblog/,blog,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
/blog/matplotlib_googlecolab/,blog,8.0,0.0,0.0,12.875,0.0,0.0,0.0,0.0,0.0
/blog/mulmocast-hagakure-introduction/,blog,5.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0
/blog/scrollpj_part2/,blog,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
/blog/starting-programming-journey/,blog,16.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0
/indext5explain/,lp,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
/saga_bot/,lp,14.0,0.0,0.0,11.285714285714286,1.0,1.0,1.0,21.701535,100.0
/voice/,lp,20.0,0.0,0.0,2.65,1.0,1.0,1.0,35.650773,100.0
/voice.html,lp,0.0,0.0,0.0,0.0,5.0,5.0,30.0,65.82707760000001,60.0
/term_use/,lp,0.0,0.0,0.0,0.0,4.0,3.0,4.0,38.684998,75.0
/saga_bot.html,lp,0.0,0.0,0.0,0.0,3.0,3.0,45.0,67.43314866666667,66.66666666666666
/term_use.html,lp,0.0,0.0,0.0,0.0,3.0,3.0,10.0,23.512884333333332,66.66666666666666
/blog,blog,0.0,0.0,0.0,0.0,2.0,2.0,6.0,17.1569105,100.0
/index,lp,0.0,0.0,0.0,0.0,2.0,2.0,10.0,67.80971,50.0
/voice,lp,0.0,0.0,0.0,0.0,2.0,2.0,4.0,13.351774500000001,50.0
