query,clicks,impressions,ctr,position
run cat neo,2.0,60.0,3.3333333333333335,6.35
gemma3 vs gemma4,1.0,5.0,20.0,2.4
gemma4 vs gemma3,1.0,2.0,50.0,3.0
gpt oss vs gemma,1.0,1.0,100.0,2.0
gpt-oss-20b vs gemma 4,1.0,1.0,100.0,16.0
hagakure,1.0,7.0,14.285714285714285,11.714285714285714
obsidian 名刺管理,1.0,24.0,4.166666666666666,5.625
ollama mac mini,1.0,6.0,16.666666666666664,13.333333333333334
runcat neo codex,1.0,5.0,20.0,7.0
12b(c3)4,0.0,1.0,0.0,19.0
chratgpt,0.0,3.0,0.0,74.66666666666667
codex scroll,0.0,2.0,0.0,5.5
elagpt,0.0,1.0,0.0,93.0
gemma 12b vs gpt oss 20b,0.0,2.0,0.0,25.5
gemma 20b,0.0,3.0,0.0,9.666666666666666
gemma 3 12b vs gemma 4 e4b,0.0,1.0,0.0,11.0
gemma 4 12b vs gpt oss 20b,0.0,1.0,0.0,9.0
gemma 4 12b 性能,0.0,2.0,0.0,58.5
gemma 4 26b moe,0.0,1.0,0.0,29.0
gemma 4 3,0.0,3.0,0.0,7.666666666666667
gemma 4 e4b vs 12b,0.0,1.0,0.0,32.0
gemma 4 e4b vs gemma 3 12b,0.0,1.0,0.0,11.0
gemma 4 vs 3,0.0,3.0,0.0,6.0
gemma 4 vs gemma 3,0.0,1.0,0.0,10.0
gemma gpt,0.0,1.0,0.0,10.0
gemma gpt-oss 比較,0.0,7.0,0.0,2.2857142857142856
gemma oss,0.0,9.0,0.0,9.11111111111111
gemma qwen,0.0,1.0,0.0,85.0
gemma vs gpt,0.0,3.0,0.0,5.666666666666667
gemma3 31b,0.0,5.0,0.0,9.4
gemma3 4 違い,0.0,2.0,0.0,5.5
gemma3 e2b,0.0,3.0,0.0,8.666666666666668
gemma3 e4b,0.0,2.0,0.0,5.5
gemma3 gemma4,0.0,14.0,0.0,7.714285714285714
gemma3 gemma4 比較,0.0,13.0,0.0,5.0
gemma3 vs 4,0.0,1.0,0.0,3.0
gemma3 性能,0.0,1.0,0.0,11.0
gemma3.5,0.0,2.0,0.0,6.0
gemma4,0.0,2.0,0.0,39.0
gemma4 12b 26b,0.0,1.0,0.0,66.0
gemma4 12b 日本語,0.0,1.0,0.0,18.0
gemma4 31b,0.0,1.0,0.0,32.0
gemma4 8b,0.0,1.0,0.0,9.0
gemma4 e2b,0.0,2.0,0.0,42.5
gemma4 e2b e4b 違い,0.0,1.0,0.0,19.0
gemma4 e4b,0.0,5.0,0.0,30.6
gemma4 e4b vs gemma3 12b,0.0,3.0,0.0,1.0
gemma4 gemma3,0.0,8.0,0.0,6.25
gemma4 gemma3 比較,0.0,1.0,0.0,5.0
gemma4 gpt-oss 比較,0.0,1.0,0.0,9.0
gemma4 moe,0.0,1.0,0.0,19.0
gemma4 プログラミング,0.0,1.0,0.0,16.0
gemma4 モデル 比較,0.0,1.0,0.0,23.0
gemma4 日本語性能,0.0,1.0,0.0,28.0
gemma4 比較,0.0,3.0,0.0,17.333333333333332
gpt oss 20b vs gemma 4 12b,0.0,2.0,0.0,8.0
gpt oss vs gemma 4,0.0,1.0,0.0,33.0
gpt-oss gemma,0.0,1.0,0.0,3.0
gpt-oss gemma4,0.0,1.0,0.0,24.0
gpt-oss vs gemma,0.0,1.0,0.0,2.0
gpt-oss-20b vs gemma 4 12b,0.0,2.0,0.0,5.0
local vibe,0.0,3.0,0.0,11.333333333333334
local vive,0.0,1.0,0.0,16.0
mac llm 遅い,0.0,1.0,0.0,40.0
mac mini llm ローカル,0.0,1.0,0.0,36.0
mac mini m4 local llm,0.0,1.0,0.0,28.0
mac mini m4 ollama,0.0,1.0,0.0,10.0
mac mini m4 ollama performance,0.0,2.0,0.0,9.0
mac mini ollama,0.0,2.0,0.0,10.0
mac mini ローカルllm,0.0,2.0,0.0,37.0
node_repl,0.0,1.0,0.0,30.0
obsidian gemma4,0.0,7.0,0.0,6.428571428571429
ollama apple silicon,0.0,2.0,0.0,14.0
ollama mac,0.0,7.0,0.0,26.428571428571427
ollama mac gpu,0.0,2.0,0.0,6.0
ollama mac mini m4,0.0,1.0,0.0,10.0
ollama mps,0.0,2.0,0.0,3.5
ollama pytorch,0.0,1.0,0.0,3.0
ollamallm,0.0,1.0,0.0,11.0
qwen3 12b,0.0,1.0,0.0,8.0
runcat neo github,0.0,5.0,0.0,8.0
runcatneo,0.0,39.0,0.0,6.641025641025641
sitcd,0.0,3.0,0.0,39.333333333333336
vibe local,0.0,7.0,0.0,8.285714285714285
vibe-local,0.0,20.0,0.0,9.05
vive local,0.0,2.0,0.0,9.5
yaxxx,0.0,3.0,0.0,26.333333333333332
ローカル llm mac mini,0.0,1.0,0.0,48.0
ローカルllm macmini,0.0,1.0,0.0,40.0
ローカルllm 作り方 mac,0.0,2.0,0.0,44.0
ローカルllm 構築 mac,0.0,1.0,0.0,52.0
佐賀弁 変換,0.0,3.0,0.0,10.0
佐賀弁変換,0.0,24.0,0.0,11.041666666666666
落合陽一 github,0.0,4.0,0.0,12.0
落合陽一 vibe-local,0.0,4.0,0.0,10.0
런캣 네오,0.0,1.0,0.0,41.0
１０回,0.0,1.0,0.0,2.0
